,아이디,맥주이름,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
0,"DejanSt(1,856)",Goose Island Goose IPA,22-May-21,3.0,7,4,6,3,10
1,"Jorn69(5,346)",Goose Island Goose IPA,08-May-21,3.4,7,3,7,3,14
2,"Tasche39(1,076)",Goose Island Goose IPA,07-May-21,3.7,7,4,7,4,15
7,"tomer(5,421)",Goose Island Goose IPA,03-Apr-21,3.5,8,3,7,4,13
9,"rayaron(5,098)",Goose Island Goose IPA,27-Mar-21,3.5,7,3,7,3,15
10,"SilkTork(6,989)",Goose Island Goose IPA,22-Mar-21,3.0,6,3,6,3,12
16,donandres(837),Goose Island Goose IPA,30-Nov-20,3.6,7,4,7,4,14
18,"dchad56(1,141)",Goose Island Goose IPA,23-Nov-20,3.3,6,4,6,4,13
29,sinte(765),Goose Island Goose IPA,14-Sep-20,3.5,7,3,8,3,14
30,"TomHendriksen(4,501)",Goose Island Goose IPA,12-Sep-20,3.8,8,3,8,4,15
31,"Jerseyislandbeer(3,019)",Goose Island Goose IPA,06-Sep-20,3.4,7,3,7,3,14
33,"angel77(5,952)",Goose Island Goose IPA,31-Aug-20,3.4,6,3,7,3,15
36,"caketm(3,633)",Goose Island Goose IPA,27-Jul-20,3.7,7,4,7,4,15
38,"unclefrito62(1,535)",Goose Island Goose IPA,17-Jul-20,3.4,7,4,6,4,13
46,"Wolfbass(1,340)",Goose Island Goose IPA,14-Apr-20,3.0,5,3,6,3,13
52,ResinousMaestro55(355),Goose Island Goose IPA,03-Jan-21,3.7,7,4,7,4,15
53,"midovark(3,649)",Goose Island Goose IPA,27-Feb-20,2.8,5,5,5,5,8
57,DraftSensei110(693),Goose Island Goose IPA,12-Jan-20,3.3,7,3,7,3,13
70,"DrNosha(6,192)",Goose Island Goose IPA,09-Dec-19,3.6,7,4,7,3,15
76,"Piw(2,051)",Goose Island Goose IPA,10-Nov-19,3.5,7,4,7,3,14
78,"alex_leit(12,022)",Goose Island Goose IPA,30-Oct-19,3.5,7,4,7,4,13
79,JuanCC(305),Goose Island Goose IPA,21-Oct-19,3.7,7,4,8,3,15
84,"cervmagpt(1,590)",Goose Island Goose IPA,08-Oct-19,3.1,5,5,5,5,11
86,"vladeath(2,183)",Goose Island Goose IPA,05-Oct-19,3.3,6,4,7,3,13
94,fredthecat(527),Goose Island Goose IPA,12-Sep-19,4.0,8,4,8,4,16
95,"DoctorHU(1,641)",Goose Island Goose IPA,05-Sep-19,3.7,8,2,8,3,16
112,"teddybeer(5,485)",Goose Island Goose IPA,09-Jul-19,3.6,6,3,7,3,17
117,"simontomlinson(3,782)",Goose Island Goose IPA,24-Jun-19,3.5,7,3,7,3,15
118,"ophone(1,379)",Goose Island Goose IPA,24-Jun-19,4.0,7,4,8,4,17
128,"jhsnitz1(1,060)",Goose Island Goose IPA,22-Jun-19,2.0,7,3,3,2,5
129,"hrabren(4,843)",Goose Island Goose IPA,30-May-19,3.2,7,4,6,3,12
134,"sharkydodson(4,450)",Goose Island Goose IPA,12-May-19,3.6,8,4,7,3,14
135,graziano85(698),Goose Island Goose IPA,11-May-19,3.5,7,3,7,3,15
139,"Milter(1,941)",Goose Island Goose IPA,03-May-19,4.2,8,4,8,4,18
