,아이디,맥주이름,날짜,평점,Aroma,Appearance,Flavor,Mouthfeel,Overall
0,"DejanSt(1,856)",Goose Island Goose IPA,22-May-21,3,7,4,6,3,10
1,"Jorn69(5,346)",Goose Island Goose IPA,08-May-21,3.4,7,3,7,3,14
2,"Tasche39(1,076)",Goose Island Goose IPA,07-May-21,3.7,7,4,7,4,15
3,JDsz5(427),Goose Island Goose IPA,28-Apr-21,3.6,7,5,7,3,14
4,DraftPupil66(160),Goose Island Goose IPA,26-Apr-21,3.7,6,3,7,3,18
5,Arbitrage411(26),Goose Island Goose IPA,19-Apr-21,3.3,7,3,7,3,13
6,SourRater43(52),Goose Island Goose IPA,05-Apr-21,0.6,1,2,1,1,1
7,"tomer(5,421)",Goose Island Goose IPA,03-Apr-21,3.5,8,3,7,4,13
8,rufusgbr(45),Goose Island Goose IPA,28-Mar-21,3.2,5,3,6,3,15
9,"rayaron(5,098)",Goose Island Goose IPA,27-Mar-21,3.5,7,3,7,3,15
10,"SilkTork(6,989)",Goose Island Goose IPA,22-Mar-21,3,6,3,6,3,12
11,Pingaware(175),Goose Island Goose IPA,08-Mar-21,2.5,4,3,5,3,10
13,DaridoPL(307),Goose Island Goose IPA,31-Jan-21,3.3,7,3,7,3,13
14,"Nocturne(3,062)",Goose Island Goose IPA,01-Jan-21,3,6,3,6,3,12
15,jerey(90),Goose Island Goose IPA,17-Dec-20,3,5,5,5,2,13
16,donandres(837),Goose Island Goose IPA,30-Nov-20,3.6,7,4,7,4,14
17,sambaloelek(5),Goose Island Goose IPA,25-Nov-20,4.8,9,5,10,5,19
18,"dchad56(1,141)",Goose Island Goose IPA,23-Nov-20,3.3,6,4,6,4,13
19,"Parmenion777(1,142)",Goose Island Goose IPA,20-Nov-20,3.5,7,3,7,3,15
21,WillySenpai(147),Goose Island Goose IPA,20-Dec-20,3.8,8,4,8,4,14
22,beerpat96(4),Goose Island Goose IPA,01-Nov-20,4.2,8,4,8,4,18
23,PelliclePupil63(7),Goose Island Goose IPA,24-Oct-20,3,6,3,6,3,12
24,nais(3),Goose Island Goose IPA,04-Oct-20,3.8,5,4,9,4,16
25,"dragnet101(1,481)",Goose Island Goose IPA,30-Sep-20,3.9,7,4,8,4,16
26,mausama(7),Goose Island Goose IPA,27-Sep-20,3.2,8,4,8,4,8
27,Rod_beer(184),Goose Island Goose IPA,27-Sep-20,3.2,7,3,6,3,13
28,"Cheeseboard(2,302)",Goose Island Goose IPA,18-Sep-20,3.3,6,3,7,3,14
29,sinte(765),Goose Island Goose IPA,14-Sep-20,3.5,7,3,8,3,14
30,"TomHendriksen(4,501)",Goose Island Goose IPA,12-Sep-20,3.8,8,3,8,4,15
31,"Jerseyislandbeer(3,019)",Goose Island Goose IPA,06-Sep-20,3.4,7,3,7,3,14
33,"angel77(5,952)",Goose Island Goose IPA,31-Aug-20,3.4,6,3,7,3,15
34,emesc(354),Goose Island Goose IPA,02-Aug-20,3.5,5,4,7,4,15
36,"caketm(3,633)",Goose Island Goose IPA,27-Jul-20,3.7,7,4,7,4,15
38,"unclefrito62(1,535)",Goose Island Goose IPA,17-Jul-20,3.4,7,4,6,4,13
39,crcollinho(195),Goose Island Goose IPA,23-Jun-20,3.7,6,4,7,4,16
40,AllGrainKeep62(17),Goose Island Goose IPA,25-Jun-20,3.4,5,4,8,3,14
41,YeastLees43(31),Goose Island Goose IPA,18-May-20,4.1,7,5,8,4,17
43,BubbleTicks52(1),Goose Island Goose IPA,08-May-20,3.9,6,4,8,5,16
46,"Wolfbass(1,340)",Goose Island Goose IPA,14-Apr-20,3,5,3,6,3,13
48,didierlewallon(352),Goose Island Goose IPA,04-Apr-20,3.6,7,3,7,3,16
49,RabbleRouseRye(31),Goose Island Goose IPA,30-Mar-20,3.1,5,3,5,3,15
50,"FACambridge(1,022)",Goose Island Goose IPA,27-Mar-20,2.2,5,3,4,2,8
51,The Etruscan(824),Goose Island Goose IPA,29-Feb-20,3,6,3,6,3,12
52,ResinousMaestro55(355),Goose Island Goose IPA,03-Jan-21,3.7,7,4,7,4,15
53,"midovark(3,649)",Goose Island Goose IPA,27-Feb-20,2.8,5,5,5,5,8
54,AleTun35(0),Goose Island Goose IPA,26-Feb-20,3.7,7,4,7,4,15
55,lasage(495),Goose Island Goose IPA,20-Feb-20,3.8,7,4,8,4,15
56,"humpah(1,784)",Goose Island Goose IPA,21-Jan-20,3.5,7,3,7,3,15
57,DraftSensei110(693),Goose Island Goose IPA,12-Jan-20,3.3,7,3,7,3,13
58,vymenmito(270),Goose Island Goose IPA,05-Jan-20,3.2,7,3,7,3,12
60,tonibga(2),Goose Island Goose IPA,31-Dec-19,3.9,8,4,8,4,15
61,craftyrocker(290),Goose Island Goose IPA,31-Dec-19,3.2,6,3,7,3,13
62,beermastersasho(299),Goose Island Goose IPA,29-Dec-19,3.8,8,4,7,4,15
64,dahilein(68),Goose Island Goose IPA,26-Dec-19,3.4,6,4,7,3,14
65,javleon(106),Goose Island Goose IPA,24-Dec-19,3.5,9,4,7,4,11
66,methan(92),Goose Island Goose IPA,24-Dec-19,3.1,7,3,6,3,12
67,aaronheugel(1),Goose Island Goose IPA,24-Dec-19,3.9,7,4,8,4,16
69,domination_94(104),Goose Island Goose IPA,10-Dec-19,3.8,8,4,7,4,15
70,"DrNosha(6,192)",Goose Island Goose IPA,09-Dec-19,3.6,7,4,7,3,15
71,MartinNaxera(620),Goose Island Goose IPA,25-Nov-19,4.4,9,4,9,4,18
73,"tgrtnr(1,782)",Goose Island Goose IPA,17-Nov-19,3.7,7,3,8,4,15
75,PastorGL(20),Goose Island Goose IPA,15-Nov-19,3.7,7,3,8,4,15
76,"Piw(2,051)",Goose Island Goose IPA,10-Nov-19,3.5,7,4,7,3,14
77,moatemalt(234),Goose Island Goose IPA,31-Oct-19,3.1,5,3,6,3,14
78,"alex_leit(12,022)",Goose Island Goose IPA,30-Oct-19,3.5,7,4,7,4,13
79,JuanCC(305),Goose Island Goose IPA,21-Oct-19,3.7,7,4,8,3,15
80,p0rkch0p(244),Goose Island Goose IPA,21-Oct-19,2.6,5,2,6,3,10
