,beername,year,rating,
0,Goose Island Goose IPA,2000,4.4, 
0,Goose Island Goose IPA,2001,3.9, 
0,Goose Island Goose IPA,2002,3.619148936, 
0,Goose Island Goose IPA,2003,3.556164384, 
0,Goose Island Goose IPA,2004,3.595402299,
0,Goose Island Goose IPA,2005,3.614788732,
0,Goose Island Goose IPA,2006,3.680147059,
0,Goose Island Goose IPA,2007,3.555263158,
0,Goose Island Goose IPA,2008,3.581879195,
0,Goose Island Goose IPA,2009,3.583544304,
0,Goose Island Goose IPA,2010,3.622794118,
0,Goose Island Goose IPA,2011,3.566666667,
0,Goose Island Goose IPA,2012,3.568720379,
0,Goose Island Goose IPA,2013,3.520735786,
0,Goose Island Goose IPA,2014,3.524064171,
0,Goose Island Goose IPA,2015,3.419033233,
0,Goose Island Goose IPA,2016,3.450299401,
0,Goose Island Goose IPA,2017,3.459440559,
0,Goose Island Goose IPA,2018,3.266037736,
0,Goose Island Goose IPA,2019,3.436521739,
0,Goose Island Goose IPA,2020,3.519512195,
0,Goose Island Goose IPA,2021,3.2,
1,Goose Island 312 Urban Wheat Ale,2004,2.718181818,
1,Goose Island 312 Urban Wheat Ale,2005,2.773913043,
1,Goose Island 312 Urban Wheat Ale,2006,2.780412371,
1,Goose Island 312 Urban Wheat Ale,2007,2.733884298,
1,Goose Island 312 Urban Wheat Ale,2008,2.7608,
1,Goose Island 312 Urban Wheat Ale,2009,2.892307692,
1,Goose Island 312 Urban Wheat Ale,2010,2.9,
1,Goose Island 312 Urban Wheat Ale,2011,2.855319149,
1,Goose Island 312 Urban Wheat Ale,2012,2.855026455,
1,Goose Island 312 Urban Wheat Ale,2013,2.755465587,
1,Goose Island 312 Urban Wheat Ale,2014,2.9125,
1,Goose Island 312 Urban Wheat Ale,2015,2.858227848,
1,Goose Island 312 Urban Wheat Ale,2016,2.838571429,
1,Goose Island 312 Urban Wheat Ale,2017,2.87752809,
1,Goose Island 312 Urban Wheat Ale,2018,2.877586207,
1,Goose Island 312 Urban Wheat Ale,2019,2.880851064,
1,Goose Island 312 Urban Wheat Ale,2020,2.730769231,
1,Goose Island 312 Urban Wheat Ale,2021,2.775,
2,Edelweiss Weissbier Hefetrub,2001,3.53,
2,Edelweiss Weissbier Hefetrub,2002,3.544117647,
2,Edelweiss Weissbier Hefetrub,2003,3.464285714,
2,Edelweiss Weissbier Hefetrub,2004,3.242105263,
2,Edelweiss Weissbier Hefetrub,2005,3.18,
2,Edelweiss Weissbier Hefetrub,2006,3.234285714,
2,Edelweiss Weissbier Hefetrub,2007,3.225531915,
2,Edelweiss Weissbier Hefetrub,2008,3.089655172,
2,Edelweiss Weissbier Hefetrub,2009,3.24,
2,Edelweiss Weissbier Hefetrub,2010,3.2875,
2,Edelweiss Weissbier Hefetrub,2011,3.305263158,
2,Edelweiss Weissbier Hefetrub,2012,3.266666667,
2,Edelweiss Weissbier Hefetrub,2013,3.366666667,
2,Edelweiss Weissbier Hefetrub,2014,3.405172414,
2,Edelweiss Weissbier Hefetrub,2015,3.156818182,
2,Edelweiss Weissbier Hefetrub,2016,3.214705882,
2,Edelweiss Weissbier Hefetrub,2017,3.346428571,
2,Edelweiss Weissbier Hefetrub,2018,3.21875,
2,Edelweiss Weissbier Hefetrub,2019,3.2,
2,Edelweiss Weissbier Hefetrub,2020,3.42,
2,Edelweiss Weissbier Hefetrub,2021,3.28,
3,Somersby Apple Cider,2008,2.104878049,
3,Somersby Apple Cider,2009,1.96,
3,Somersby Apple Cider,2010,1.666666667,
3,Somersby Apple Cider,2011,2.142857143,
3,Somersby Apple Cider,2012,2.37173913,
3,Somersby Apple Cider,2013,2.308888889,
3,Somersby Apple Cider,2014,2.145238095,
3,Somersby Apple Cider,2015,2.706666667,
3,Somersby Apple Cider,2016,2.25,
3,Somersby Apple Cider,2017,2.435483871,
3,Somersby Apple Cider,2018,2.048148148,
3,Somersby Apple Cider,2019,2.55,
3,Somersby Apple Cider,2020,2.066666667,
4,Apple Fox,2018,2.75,
4,Apple Fox,2019,2.25,
5,Desperados,2002,1.827777778,
5,Desperados,2003,1.55,
5,Desperados,2004,1.252631579,
5,Desperados,2005,1.356,
5,Desperados,2006,1.425581395,
5,Desperados,2007,1.810526316,
5,Desperados,2008,1.845714286,
5,Desperados,2009,1.562857143,
5,Desperados,2010,1.906666667,
5,Desperados,2011,1.875,
5,Desperados,2012,1.948275862,
5,Desperados,2013,1.784057971,
5,Desperados,2014,1.803061224,
5,Desperados,2015,1.749473684,
5,Desperados,2016,1.763636364,
5,Desperados,2017,1.8703125,
5,Desperados,2018,2.107894737,
5,Desperados,2019,2.092307692,
5,Desperados,2020,1.890909091,
5,Desperados,2021,2.425,
6,Egger Grapefruit Radler,2013,2.2,
6,Egger Grapefruit Radler,2014,2.246153846,
6,Egger Grapefruit Radler,2015,2.273333333,
6,Egger Grapefruit Radler,2016,2.375,
6,Egger Grapefruit Radler,2017,2.633333333,
6,Egger Grapefruit Radler,2018,2.55,
6,Egger Grapefruit Radler,2019,2.7,
6,Egger Grapefruit Radler,2020,2.366666667,
7,Egger Radler,2005,1.6,
7,Egger Radler,2006,2.5,
7,Egger Radler,2008,1.525,
7,Egger Radler,2009,1.625,
7,Egger Radler,2010,1.5,
7,Egger Radler,2011,1.6,
7,Egger Radler,2012,1.7,
7,Egger Radler,2013,1.85,
7,Egger Radler,2014,2.1,
7,Egger Radler,2015,1.575,
7,Egger Radler,2017,1.9,
7,Egger Radler,2018,1.5,
7,Egger Radler,2019,2,
8,Stella Artois,2000,2.125,
8,Stella Artois,2001,3.06744186,
8,Stella Artois,2002,2.831914894,
8,Stella Artois,2003,2.630573248,
8,Stella Artois,2004,2.6475,
8,Stella Artois,2005,2.48061674,
8,Stella Artois,2006,2.46875,
8,Stella Artois,2007,2.492753623,
8,Stella Artois,2008,2.520807453,
8,Stella Artois,2009,2.545023697,
8,Stella Artois,2010,2.435672515,
8,Stella Artois,2011,2.401587302,
8,Stella Artois,2012,2.487951807,
8,Stella Artois,2013,2.464489796,
8,Stella Artois,2014,2.459734513,
8,Stella Artois,2015,2.526900585,
8,Stella Artois,2016,2.531818182,
8,Stella Artois,2017,2.718584071,
8,Stella Artois,2018,2.691578947,
8,Stella Artois,2019,2.945614035,
8,Stella Artois,2020,2.571428571,
8,Stella Artois,2021,2.546153846,
9,Hoegaarden,2000,4.090909091,
9,Hoegaarden,2001,4.082352941,
9,Hoegaarden,2002,3.656603774,
9,Hoegaarden,2003,3.636097561,
9,Hoegaarden,2004,3.58490566,
9,Hoegaarden,2005,3.578113208,
9,Hoegaarden,2006,3.556272401,
9,Hoegaarden,2007,3.492391304,
9,Hoegaarden,2008,3.545647059,
9,Hoegaarden,2009,3.436501901,
9,Hoegaarden,2010,3.428444444,
9,Hoegaarden,2011,3.48,
9,Hoegaarden,2012,3.51147541,
9,Hoegaarden,2013,3.480062305,
9,Hoegaarden,2014,3.456711409,
9,Hoegaarden,2015,3.513703704,
9,Hoegaarden,2016,3.506829268,
9,Hoegaarden,2017,3.414857143,
9,Hoegaarden,2018,3.430392157,
9,Hoegaarden,2019,3.525,
9,Hoegaarden,2020,3.512195122,
9,Hoegaarden,2021,3.509090909,
10,Hoegaarden Rosee,2007,2.347368421,
10,Hoegaarden Rosee,2008,2.605357143,
10,Hoegaarden Rosee,2009,2.188,
10,Hoegaarden Rosee,2010,2.625,
10,Hoegaarden Rosee,2011,2.428888889,
10,Hoegaarden Rosee,2012,2.526666667,
10,Hoegaarden Rosee,2013,2.392592593,
10,Hoegaarden Rosee,2014,2.498076923,
10,Hoegaarden Rosee,2015,2.484,
10,Hoegaarden Rosee,2016,2.592857143,
10,Hoegaarden Rosee,2017,2.734883721,
10,Hoegaarden Rosee,2018,2.48,
10,Hoegaarden Rosee,2019,2.834782609,
10,Hoegaarden Rosee,2020,2.853846154,
10,Hoegaarden Rosee,2021,3.025,
11,Budweiser,2000,1.234782609,
11,Budweiser,2001,1.488185654,
11,Budweiser,2002,1.398617512,
11,Budweiser,2003,1.484269663,
11,Budweiser,2004,1.38,
11,Budweiser,2005,1.442517007,
11,Budweiser,2006,1.324161074,
11,Budweiser,2007,1.334031414,
11,Budweiser,2008,1.486538462,
11,Budweiser,2009,1.583710407,
11,Budweiser,2010,1.421167883,
11,Budweiser,2011,1.620238095,
11,Budweiser,2012,1.582608696,
11,Budweiser,2013,1.752466368,
11,Budweiser,2014,1.668586387,
11,Budweiser,2015,1.601694915,
11,Budweiser,2016,1.919626168,
11,Budweiser,2017,1.959504132,
11,Budweiser,2018,2.016153846,
11,Budweiser,2019,2.088059701,
11,Budweiser,2020,2.079487179,
11,Budweiser,2021,1.835714286,
12,Patagonia Bohemian Pilsner,2011,3.06,
12,Patagonia Bohemian Pilsner,2013,2.4,
12,Patagonia Bohemian Pilsner,2014,2.5,
12,Patagonia Bohemian Pilsner,2015,2.68,
12,Patagonia Bohemian Pilsner,2016,2.825,
12,Patagonia Bohemian Pilsner,2017,2.733333333,
12,Patagonia Bohemian Pilsner,2018,2.811111111,
12,Patagonia Bohemian Pilsner,2019,2.855172414,
12,Patagonia Bohemian Pilsner,2020,3.45,
12,Patagonia Bohemian Pilsner,2021,2.5,
13,Kronenbourg 1664 Blanc,2004,3.222222222,
13,Kronenbourg 1664 Blanc,2005,2.664516129,
13,Kronenbourg 1664 Blanc,2006,2.7025,
13,Kronenbourg 1664 Blanc,2007,2.39137931,
13,Kronenbourg 1664 Blanc,2008,2.728205128,
13,Kronenbourg 1664 Blanc,2009,2.427272727,
13,Kronenbourg 1664 Blanc,2010,2.835,
13,Kronenbourg 1664 Blanc,2011,2.804651163,
13,Kronenbourg 1664 Blanc,2012,2.825,
13,Kronenbourg 1664 Blanc,2013,2.826262626,
13,Kronenbourg 1664 Blanc,2014,2.773170732,
13,Kronenbourg 1664 Blanc,2015,2.811363636,
13,Kronenbourg 1664 Blanc,2016,2.820895522,
13,Kronenbourg 1664 Blanc,2017,2.861538462,
13,Kronenbourg 1664 Blanc,2018,2.855932203,
13,Kronenbourg 1664 Blanc,2019,2.892045455,
13,Kronenbourg 1664 Blanc,2020,3.03030303,
13,Kronenbourg 1664 Blanc,2021,2.92,
14,Erdinger Weissbier,2000,3.175,
14,Erdinger Weissbier,2001,3.426666667,
14,Erdinger Weissbier,2002,3.184057971,
14,Erdinger Weissbier,2003,3.149367089,
14,Erdinger Weissbier,2004,3.161764706,
14,Erdinger Weissbier,2005,3.189115646,
14,Erdinger Weissbier,2006,3.095705521,
14,Erdinger Weissbier,2007,3.131318681,
14,Erdinger Weissbier,2008,3.156097561,
14,Erdinger Weissbier,2009,3.12875,
14,Erdinger Weissbier,2010,3.088888889,
14,Erdinger Weissbier,2011,3.160135135,
14,Erdinger Weissbier,2012,3.173333333,
14,Erdinger Weissbier,2013,3.259009009,
14,Erdinger Weissbier,2014,3.130290456,
14,Erdinger Weissbier,2015,3.13172043,
14,Erdinger Weissbier,2016,3.106956522,
14,Erdinger Weissbier,2017,3.185606061,
14,Erdinger Weissbier,2018,3.121794872,
14,Erdinger Weissbier,2019,3.182258065,
14,Erdinger Weissbier,2020,3.217073171,
14,Erdinger Weissbier,2021,3.345454545,
15,Paulaner Hefe-Weissbier,2000,3.92,
15,Paulaner Hefe-Weissbier,2001,3.756363636,
15,Paulaner Hefe-Weissbier,2002,3.585714286,
15,Paulaner Hefe-Weissbier,2003,3.585714286,
15,Paulaner Hefe-Weissbier,2004,3.529370629,
15,Paulaner Hefe-Weissbier,2005,3.663265306,
15,Paulaner Hefe-Weissbier,2006,3.704787234,
15,Paulaner Hefe-Weissbier,2007,3.614930556,
15,Paulaner Hefe-Weissbier,2008,3.632083333,
15,Paulaner Hefe-Weissbier,2009,3.471676301,
15,Paulaner Hefe-Weissbier,2010,3.62125,
15,Paulaner Hefe-Weissbier,2011,3.547096774,
15,Paulaner Hefe-Weissbier,2012,3.610798122,
15,Paulaner Hefe-Weissbier,2013,3.642307692,
15,Paulaner Hefe-Weissbier,2014,3.549270073,
15,Paulaner Hefe-Weissbier,2015,3.571929825,
15,Paulaner Hefe-Weissbier,2016,3.571069182,
15,Paulaner Hefe-Weissbier,2017,3.595408163,
15,Paulaner Hefe-Weissbier,2018,3.62890625,
15,Paulaner Hefe-Weissbier,2019,3.651190476,
15,Paulaner Hefe-Weissbier,2020,3.551724138,
15,Paulaner Hefe-Weissbier,2021,3.712,
16,Paulaner Hefeweissbier Dunkel,2000,3.84,
16,Paulaner Hefeweissbier Dunkel,2001,3.514285714,
16,Paulaner Hefeweissbier Dunkel,2002,3.685,
16,Paulaner Hefeweissbier Dunkel,2003,3.275,
16,Paulaner Hefeweissbier Dunkel,2004,3.447619048,
16,Paulaner Hefeweissbier Dunkel,2005,3.344444444,
16,Paulaner Hefeweissbier Dunkel,2006,3.295652174,
16,Paulaner Hefeweissbier Dunkel,2007,3.336956522,
16,Paulaner Hefeweissbier Dunkel,2008,3.393181818,
16,Paulaner Hefeweissbier Dunkel,2009,3.389285714,
16,Paulaner Hefeweissbier Dunkel,2010,3.476666667,
16,Paulaner Hefeweissbier Dunkel,2011,3.419607843,
16,Paulaner Hefeweissbier Dunkel,2012,3.46779661,
16,Paulaner Hefeweissbier Dunkel,2013,3.370666667,
16,Paulaner Hefeweissbier Dunkel,2014,3.435294118,
16,Paulaner Hefeweissbier Dunkel,2015,3.387719298,
16,Paulaner Hefeweissbier Dunkel,2016,3.437777778,
16,Paulaner Hefeweissbier Dunkel,2017,3.398863636,
16,Paulaner Hefeweissbier Dunkel,2018,3.408333333,
16,Paulaner Hefeweissbier Dunkel,2019,3.436538462,
