,맥주정보,검색이름,맥주이름
0,"hamilton_w(347)
1.7April 8, 2021
Unnoticeable aroma, mouthfeel was weaker than expected. A below-average lager.
CAN
Aroma
2
Appearance
2
Flavor
4
Mouthfeel
1
Overall
8",Cass Fresh,Cass Fresh
1,"bobblackcoffee(87)
2.2December 3, 2020
Sweet and light and crisp. Like a Busan autumn morning. Easy drinking but sucrosey. Perhaps the PBR of Korea.
CAN
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Cass Fresh,Cass Fresh
2,"PubRespek15(360)
🇳🇴Norway
1.4November 3, 2020
This is not a beer I can highly recommend. Sweet, watery, and tasteless. Reminds me of a cheap American beer. On the other hand this beer could be a total life saver on a hot…
Show more
BOTTLE
Aroma
4
Appearance
1
Flavor
3
Mouthfeel
1
Overall
5
1",Cass Fresh,Cass Fresh
3,"allmyvinyl(14,423)
🇬🇧Edinburgh, Scotland
2.4November 1, 2020
Bottle from the Chinese Mini-Market on Gorgie Road, Edinburgh. Pours clear golden with no head. Aromas are metallic and sugary. Taste is more of the same. Watery…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
10",Cass Fresh,Cass Fresh
4,"wilde_joost59(1,223)
🇳🇱Amsterdam, Netherlands
3.0June 19, 2020
Thuis uit een flesje. Nu allemaal niet zo mopperen hierop. Een fris pils met een laag percentage. Lekker voor de dorst op een warme dag. Ok, niet heel veel smaak en nasmaak.…
Show more
Aroma
6
Appearance
2
Flavor
6
Mouthfeel
2
Overall
14",Cass Fresh,Cass Fresh
5,"camay1997(279)
🇺🇸patton, United States
1.8March 24, 2020
Purchased a six pack from my local 99 cents store. Short lived white head atop a clear, pale yellow body. It has a metallic smell, common with cheaply mass produced beer.…
Show more
CAN
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
1
Overall
8",Cass Fresh,Cass Fresh
6,"ElDesmadre(6,596)
🇵🇱Jaworze, Poland
1.4March 22, 2020
Can. Sweetish, corn, lots of green apples, almost no bitterness, not crisp. Weak as expected.
Aroma
3
Appearance
3
Flavor
2
Mouthfeel
1
Overall
5",Cass Fresh,Cass Fresh
7,"BlackHaddock(11,825)
🇬🇧The County Time Forgot, England
2.0December 13, 2019
Large bottle, drank on 11th Dec 2019 in a Korean BBQ joint, Irvine, Orange County, California. Light golden pour, snow white head, my oily and fatty mouth from the BBQ meats…
Show more
BOTTLE
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Cass Fresh,Cass Fresh
8,"ShivanDragon(6,884)
🇳🇱Leeuwarden, Netherlands
1.5November 27, 2019
Landje tick ... erg mineralig en kalkachtig, lichte mout, erg licht spul.…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Cass Fresh,Cass Fresh
9,"ricardostercios(1,308)
🇪🇸Castelló de la Plana, Spain
1.7October 29, 2019
Color amarillo, sin turbiedad, transparente. Espuma blanca de más de un dedo de espesor, un tanto irregular y corta retención. Aroma a cereal y notas de frutas blancas, sobre…
Show more
BOTTLE
Aroma
4
Appearance
2
Flavor
2
Mouthfeel
3
Overall
6
1",Cass Fresh,Cass Fresh
