,맥주정보,검색이름,맥주이름
0,"jybi(1,705)
🇳🇨Nouméa, New Caledonia
3.0May 29, 2021
Un grand ami et non moins grand spécialiste en bière m'indiquait récemment que les Bock se rapprochaient des doubles belges. Il faudrait que je creuse quelque peu le styl…
Show more
BOTTLE
Aroma
6
Appearance
5
Flavor
6
Mouthfeel
2
Overall
11
1",Paulaner Hefeweissbier Dunkel,Paulaner Hefeweissbier Dunkel
1,"yerigo(185)
3.6May 23, 2021
Paulaner Hefe-Weissbier Dunkel _03.2022

Klasyka, pachnie bardzo dobrze. W aromacie banan, lekko…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
14",Paulaner Hefeweissbier Dunkel,Paulaner Hefeweissbier Dunkel
2,"alexsdad06(16,109)
🇺🇸West Chester, United States
3.5May 19, 2021
This is a backlog rating from 2008 from a bottle, from notes. When I had this beer it was average to below average for the style and not something I wanted to have…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
14",Paulaner Hefeweissbier Dunkel,Paulaner Hefeweissbier Dunkel
3,"czgr(1,336)
🇵🇱Opole, Poland
3.5April 25, 2021
Ocena wystawiona na podstawie wspomnień. Degustacja odbyła się jakiś czas temu.
Instagram/czgr_
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Paulaner Hefeweissbier Dunkel,Paulaner Hefeweissbier Dunkel
4,"Jerseyislandbeer(3,019)
🇯🇪Jersey
3.5April 25, 2021
Old rating from 2013 - 500ml bottle, pours brown with a off white foamy head. Aromas & tastes of plum, toffee, spice, clove, cinnamon, banana, grain & yeast. Medium body. Dry…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
3
Overall
15",Paulaner Hefeweissbier Dunkel,Paulaner Hefeweissbier Dunkel
5,"oblaten(245)
🇪🇸Spain
3.6April 6, 2021
Lager oscura bávara. Espuma abundante que desparece dejando una fina capa. Marrón oscuro. Gusto equilibrado ligeramente dulce. Malta. Retrogusto algo refrescante.…
Show more
BOTTLE
Aroma
3
Appearance
4
Flavor
8
Mouthfeel
4
Overall
17",Paulaner Hefeweissbier Dunkel,Paulaner Hefeweissbier Dunkel
6,"Idiosynkrasie(13,083)
🇩🇪Bielefeld, Germany
3.4March 13, 2021
500ml bottle. Hazy, chestnut colour with average to huge, frothy, slowly osteoporosing, minimally lacing, off-white to beige head. Yeasty spicy and yeasty fruity, sweet-ish,…
Show more
BOTTLE
@ REWE-Markt Mumme
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Paulaner Hefeweissbier Dunkel,Paulaner Hefeweissbier Dunkel
7,"rublov(201)
🇵🇱Cracow, Poland
4.1March 10, 2021
Piana bardzo wysoka, piękna, drobna i trwała, delikatnie beżowa, wcale nie opada, pęcherzyki trzymają się bez zmian swojego mini rozmiaru. Piwo w kolorze ciemnego bursztyn…
Show more
BOTTLE
Aroma
7
Appearance
5
Flavor
8
Mouthfeel
5
Overall
16",Paulaner Hefeweissbier Dunkel,Paulaner Hefeweissbier Dunkel
8,"lmojoh(3,413)
🇳🇴Tromsø, Norway
3.6March 7, 2021
Uklar brun med offwhite skum. Aroma moden banan hvetemalt krydder. Smak hvetemalt moden banan krydder gjær humle. Saftig og fyldig, god fruktighet. Flaske kjøpt på…
Show more
BOTTLE
@ Vinmonopolet Tromsø - Langnes Jekta
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
14",Paulaner Hefeweissbier Dunkel,Paulaner Hefeweissbier Dunkel
9,"AlfredoGarcia(474)
🇨🇱Santiago, Chile
3.9February 8, 2021
500 ml bottle. Dark color, big head. Smell of grains, how a munchen beer should be! Tastes great, balances, soft but not boring. Great.
BOTTLE
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
15",Paulaner Hefeweissbier Dunkel,Paulaner Hefeweissbier Dunkel
